984402004695965697,8
984618795028250624,8
984618222942011393,8
984598839360442368,8
984596242687721473,8
984594950980624384,8
984594735082950656,8
984469794236743680,8
984460519686975489,8
984274068584017920,8
983463562814345217,8
956268639040061440,8
984573413363765248,7
984398058409480195,6
983541935519490048,6
981061444421775360,6
670985843222388736,6
931346159209271296,6
984639303979417600,5
984474980673961984,5
984252318643351552,5
983790849216733184,5
983636692195332096,5
981718067070881792,5
